approved,age,income,loan_amount,credit_score,employment_years,debt_to_income,area_type,education,self_employed,property_value
0,55,52618,464673,508,26,0.24,rural,high_school,1,609317
0,50,55739,564345,480,27,0.19,rural,high_school,1,1629100
1,38,63411,246972,703,8,0.11,rural,high_school,1,281278
1,45,78054,154574,312,16,0.07,urban,high_school,0,271393
0,20,43398,199564,385,0,0.53,rural,postgraduate,0,574184
0,26,49403,515909,442,0,0.3,urban,postgraduate,1,1357320
1,50,59904,179054,573,20,0.09,rural,high_school,0,186648
1,46,32198,204535,737,20,0.28,rural,high_school,0,349063
1,44,64227,156678,412,21,0.28,suburban,postgraduate,0,456392
0,43,43629,401109,738,15,0.59,urban,high_school,0,882128
1,29,104096,334261,656,8,0.58,urban,postgraduate,1,946783
0,24,30038,518394,451,0,0.68,urban,high_school,0,1266274
1,50,64990,144840,585,28,0.15,urban,high_school,0,238422
0,51,128444,307853,641,29,0.49,urban,graduate,1,543782
1,54,128533,137679,535,28,0.39,urban,postgraduate,1,297652
0,34,66398,430002,508,14,0.82,rural,postgraduate,0,910206
0,27,49917,532752,442,3,0.73,suburban,high_school,1,686334
0,35,54708,445796,420,13,0.61,rural,high_school,0,1099405
0,47,57062,215856,375,20,0.34,urban,graduate,0,228887
0,56,79511,364056,443,28,0.63,rural,graduate,0,706402
1,48,63558,83679,361,18,0.19,suburban,postgraduate,0,184792
1,47,133085,576251,564,18,0.23,urban,postgraduate,1,928955
0,30,57177,469852,428,7,0.23,urban,graduate,0,1051569
1,55,122958,474778,620,25,0.18,urban,postgraduate,0,1260301
0,43,70789,430320,406,22,0.73,rural,postgraduate,1,949449
1,54,66196,261524,616,31,0.08,rural,high_school,0,595432
1,37,79629,100382,795,17,0.8,urban,high_school,0,163538
1,38,75348,152110,664,16,0.77,suburban,graduate,0,252903
1,52,63870,89225,691,25,0.17,rural,high_school,0,140996
0,25,78940,575986,444,3,0.63,rural,postgraduate,0,1170750
0,53,67539,501832,668,24,0.62,rural,graduate,1,541991
1,59,117393,65667,809,38,0.75,rural,postgraduate,0,84398
0,55,59550,219316,473,31,0.51,rural,high_school,1,249213
1,49,90670,197269,752,19,0.83,suburban,graduate,1,568067
0,51,53615,434546,432,24,0.55,suburban,high_school,1,879937
1,46,122374,109830,343,17,0.25,suburban,postgraduate,1,272607
0,55,50834,468675,462,26,0.23,rural,high_school,0,1269011
1,42,82002,139991,776,21,0.14,urban,graduate,1,190464
0,45,59394,559917,624,20,0.64,suburban,graduate,0,798033
1,54,68454,82844,627,25,0.67,rural,high_school,1,246512
0,23,34392,493464,516,3,0.56,suburban,graduate,1,759784
1,45,61584,274505,729,17,0.26,urban,high_school,1,642146
0,23,48998,258252,604,1,0.39,suburban,high_school,1,438654
1,30,94234,258205,698,10,0.58,suburban,postgraduate,1,298386
0,59,111044,207817,624,39,0.8,urban,high_school,1,580433
0,46,97575,521155,428,16,0.51,suburban,graduate,0,1187103
0,22,39993,445896,470,0,0.22,suburban,high_school,0,638645
0,20,35131,180804,614,0,0.57,rural,graduate,1,433682
1,49,64611,402139,736,21,0.19,suburban,graduate,1,493328
1,58,52590,347007,747,28,0.8,suburban,high_school,1,834269
0,26,42410,570518,721,5,0.55,rural,high_school,0,1426230
1,52,99404,283705,730,29,0.49,urban,postgraduate,0,724514
0,27,33509,465035,775,1,0.35,rural,high_school,1,472108
1,36,55851,66284,724,16,0.68,urban,graduate,1,69763
1,53,73513,460373,740,30,0.57,suburban,postgraduate,1,637764
0,56,88751,383578,477,30,0.4,urban,graduate,0,780410
1,26,51599,322871,701,0,0.18,urban,postgraduate,0,863575
0,21,64144,132598,456,1,0.07,urban,graduate,0,284235
0,28,39661,253244,527,4,0.25,rural,graduate,1,524426
0,36,50235,74264,447,6,0.51,suburban,postgraduate,0,169082
0,26,30519,324721,445,2,0.12,urban,high_school,1,905714
1,33,70821,560150,723,12,0.11,suburban,graduate,0,1634760
0,46,114543,363267,464,24,0.19,urban,graduate,1,370634
0,22,33757,597093,305,0,0.79,suburban,high_school,1,1482816
1,32,51411,276813,824,10,0.14,urban,postgraduate,0,756737
0,34,35713,415484,504,13,0.57,suburban,high_school,0,1003878
1,49,97796,312241,709,26,0.6,suburban,postgraduate,1,420251
0,45,67049,517830,799,19,0.65,rural,high_school,1,956677
0,40,90581,420058,504,11,0.56,urban,postgraduate,0,734228
1,22,64430,467654,843,0,0.19,urban,postgraduate,1,495657
0,40,50150,439714,520,10,0.67,suburban,graduate,0,766829
0,20,53692,119452,629,0,0.53,rural,postgraduate,1,211571
0,53,58564,492237,376,24,0.4,urban,high_school,0,1163778
0,23,64749,180120,731,2,0.53,rural,graduate,1,343231
1,57,58531,54872,318,27,0.28,urban,graduate,0,154919
0,54,116778,149740,371,27,0.38,suburban,postgraduate,0,398263
0,39,57676,99359,620,12,0.61,suburban,graduate,1,177520
0,27,38140,160242,310,5,0.74,rural,graduate,0,478655
1,47,40609,55181,677,19,0.74,rural,high_school,0,158271
0,27,30647,228612,688,3,0.52,rural,high_school,1,651479
0,27,46764,518482,723,0,0.47,rural,high_school,1,1211417
0,51,90045,360624,394,27,0.33,urban,graduate,1,873706
1,35,58791,272796,806,15,0.22,urban,postgraduate,0,279958
0,26,71789,376972,826,1,0.57,urban,graduate,0,911150
0,52,80656,588406,694,25,0.37,rural,high_school,0,827323
0,39,79707,302248,409,18,0.42,rural,postgraduate,0,312275
1,37,57683,174074,660,13,0.12,urban,high_school,1,496782
1,52,73374,101521,678,31,0.64,rural,graduate,1,233218
0,47,50623,567594,582,19,0.14,rural,high_school,1,1156323
0,27,51443,119045,572,4,0.27,rural,high_school,0,245740
0,59,100833,569225,525,35,0.68,suburban,postgraduate,1,803410
1,58,61187,300210,788,34,0.6,rural,graduate,0,402421
0,30,28378,547654,313,0,0.07,suburban,high_school,1,1016360
1,30,72950,51055,785,1,0.25,urban,postgraduate,0,100916
0,27,53232,577587,597,4,0.17,urban,high_school,0,770853
0,41,68282,560125,563,11,0.42,urban,graduate,1,844149
1,42,98338,333049,795,21,0.63,urban,graduate,1,789848
0,34,75187,501643,550,5,0.65,suburban,postgraduate,0,862243
1,32,73334,233450,760,4,0.59,suburban,graduate,0,357322
1,46,42894,178934,832,21,0.41,rural,graduate,1,334055
0,42,66277,207525,450,15,0.28,rural,graduate,0,424673
0,51,44541,346765,341,28,0.15,suburban,graduate,0,919253
0,51,66521,313647,300,31,0.75,suburban,graduate,0,400037
1,55,59727,134638,501,29,0.08,urban,high_school,0,212944
0,42,46617,366693,400,18,0.19,suburban,high_school,1,804552
0,57,43760,369811,504,33,0.5,suburban,high_school,0,433121
1,60,106811,195342,747,39,0.61,suburban,graduate,0,401065
1,42,64437,79017,720,15,0.07,suburban,graduate,1,223232
0,46,88028,587087,548,17,0.55,urban,high_school,0,1025184
1,23,52237,532576,773,0,0.12,suburban,graduate,0,1426449
